"","year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
"14",2033,15888938.1631771,6572262.36465466,31210538.9290171,12095030.7230138,10464128.0704136,10732544.2680147,31210538.9290171,15303631.2060978,27574562.6955354,14456948.3677154,6450411.17667925,22470243.5130628,14770188.4680057,13402070.0147305,19613796.0228813,10416200.1504431,17605507.4071069,16291639.7721951,22500553.2496226,14857382.2283011,22855844.2483699,11928926.0446905,6513339.71242076,9733209.38009632,16868575.1162599,18173679.1000656,21890833.3271534,9043670.88753551
"15",2034,9728422.95214528,2291893.35598367,23660933.9714807,6547968.56750518,5767539.5267691,4926202.41521847,23660933.9714807,8973048.99899608,20506197.6373246,8971688.6136713,1219744.39752865,15134288.7143066,8128757.82362777,7725018.55071825,13534162.4659594,5727487.52000773,11505433.5442759,10895226.0672742,15156055.1024601,8206584.63327658,15954179.2870259,6399507.06647402,1289591.68142599,3569055.07733846,10034971.3800519,11255572.6496615,15047434.2982605,3073923.81299275
"16",2035,56884265.7824327,46797457.1192068,63984792.2334102,54336327.5510209,54676836.6031994,58192239.3421327,64684768.6952947,61185759.7791741,67939415.1884441,58210962.2156597,55919478.6653813,62475870.2841831,53636905.3435459,53056590.9594097,50137670.5655079,54619608.3053633,54686792.9233857,46797457.1192068,62503128.0389887,53723699.1015339,58143793.9184738,54142209.2635165,57499730.5756072,54426265.2065482,55631387.0975347,54676605.0860357,61521959.4294705,59281183.3021987
"17",2036,-786911.030542314,-3707808.06807965,7151137.59096122,-2854545.30392498,-2186335.79911375,-4975018.80174023,10687365.0414343,-2001131.32258898,8355116.92762971,-425125.03667146,-7643649.36077422,2530555.64954293,-2973493.00189894,-1931785.52281541,3083941.22771013,-2214232.4347975,1112497.64570171,1690316.10158229,2540020.98064452,-2913482.02970737,4076853.58300483,-2968736.72692782,-7517736.91883981,-6975882.45088607,-1623252.11323518,-613883.144727468,3227187.40241355,-7158340.35457289
"18",2037,-5187827.10214031,-6210001.93522632,-1025807.86316806,-6740049.94418269,-5496347.3228634,-9114338.0729968,5217117.57050961,-6668006.25162667,3226219.32790422,-4369479.30422202,-11322397.2763427,-2791857.85305816,-7487367.30734593,-5966746.09611917,-1320906.47090101,-5519053.844704,-3236349.93143761,-2178047.17106816,-2786564.47669363,-7435772.93983918,-938459.363594413,-6837758.90306008,-11149592.7107057,-11394179.8318811,-6504585.25194669,-5613440.57697409,-1794872.45637953,-11472841.093979
"19",2038,-9060717.76211393,-8401958.22855669,-8415015.65052652,-10114686.2348649,-8398077.98834953,-12750096.4786111,375316.803594291,-10824573.454128,-1321840.20009345,-7851803.8750394,-14540847.5313883,-7512303.37891883,-11352283.0821949,-9519403.98140404,-5222506.43432668,-8416263.5851216,-7059363.01500666,-5607312.80694968,-7510135.43877637,-11308630.5360908,-5382417.88611197,-10193750.1665801,-14312390.2249157,-15289761.3757584,-10803742.2568961,-10035089.3835388,-6271086.47114992,-15294895.0702274
"20",2039,-12444460.0662283,-10304164.9802236,-14596528.2351327,-13005884.2396309,-10923463.0014545,-15919867.2359859,-3873973.73896617,-14506906.5008346,-5330974.84365445,-10906168.8799946,-17332763.6513713,-11677345.8057941,-14632894.7160712,-12622680.8404621,-8661163.03881115,-10939993.7340065,-10396230.5807784,-8632899.04669884,-11677504.4601732,-14596528.2351327,-9305787.36386508,-13066267.8407636,-17035498.836371,-18702277.1945643,-14556755.3807092,-13914920.747049,-10234673.8773176,-18658077.8652476
"21",2040,33099586.9968666,26007804.8512987,29878840.0159781,33384669.9784424,35846103.9489773,35259880.3152978,36008900.9483321,35846161.259634,40466275.0233698,36653330.8828364,35328095.3977879,34061621.4437782,29832852.897854,30958393.0396616,26881883.0940335,35809909.8575134,31317320.7882876,26007804.8512987,34071591.0050446,29878840.0159781,31504901.1643418,33280488.9302236,37140037.4125533,30298452.2724422,29568763.9202856,28101035.4462901,34612436.4664203,35369924.5609819
"22",2041,-17914624.9098724,-13607591.487159,-19713364.2699878,-17525310.9222048,-14982032.3273213,-21034857.1854731,-10791406.5887559,-20590943.86159,-11900120.3401299,-15858003.1165585,-21773065.3639981,-18503525.5717376,-19737419.3258367,-17650130.6462742,-14297433.3256004,-14995734.904443,-15773882.2657602,-13607591.487159,-18506770.9584734,-19713364.2699878,-15761091.4160868,-17562689.0636294,-21306079.6551178,-24229176.5999649,-20624514.118946,-20210211.578534,-16785619.9195419,-24144647.9336844
"23",2042,-20082079.5591685,-15619782.2628559,-21657930.0274235,-19256768.5533546,-16571323.7442594,-23058898.405085,-13561799.5474023,-23056883.1557193,-14543385.1096151,-17817586.7585595,-23490994.4861688,-21247342.6374927,-21676893.291971,-19654564.0591696,-16562112.3131106,-16583795.2320915,-17893146.666308,-15619782.2628559,-21251612.6369955,-21657930.0274235,-18365536.4841166,-19284376.4405732,-22944574.8543472,-26410692.909084,-23051124.7271509,-22706912.5405324,-19447961.8916225,-26335990.2442022
