"","year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
"27",2046,7126108289.02599,5953351441.74079,8314937105.09268,6737451186.69673,6017144915.52601,6954720021.19727,8217308397.17855,6976404125.20577,7782906631.05502,6393917320.21257,6190882760.12849,8308336546.09982,8192782224.14711,6625729716.49786,6398243806.74021,6009170730.31788,7243800226.83043,5953351441.74079,8314937105.09268,8202107239.66057,7390975406.10777,6715145151.92762,6637823028.40763,7049665431.75526,7734183479.78214,7716063051.89071,7301618071.871,7088039209.57979
"28",2047,7298226926.71775,6087089962.3318,8508844111.15247,6910190125.02123,6169752618.61767,7128113622.65351,8402164604.13475,7146088797.25777,7966595197.90196,6557637928.40882,6345433962.58861,8502067134.64074,8397966145.33184,6785179687.67561,6545276006.45957,6161592207.01381,7415447733.17713,6087089962.3318,8508844111.15247,8407520055.54754,7558240428.6568,6887322466.75511,6812948718.9142,7223394310.32393,7911558949.88857,7893716632.9254,7467113910.04268,7264417850.52231
"29",2048,7463871409.12582,6215523816.42963,8695046892.41853,7076867760.41215,6316972616.09064,7295310407.76319,8579152915.22075,7309790986.333,8143090590.40834,6715839952.78117,6494586969.9298,8688101320.3932,8595351978.15633,6938665157.93768,6686568034.84915,6308630779.13491,7580329118.78393,6215523816.42963,8695046892.41853,8605127924.51753,7718549429.1997,7053452866.25343,6982288417.46498,7390724421.67116,8081807921.03505,8064100934.89966,7626196375.93652,7434707640.1251
"30",2049,7623151946.04619,6338776767.17647,8873706307.84116,7237525487.06888,6458860365.61797,7456386271.93209,8748445588.92225,7467650217.01427,8312503112.14751,6868595125.5752,6638444116.53969,8866599861.4898,8784984516.30378,7086273771.10133,6822242516.74426,6450342718.71618,7738562084.1845,6338776767.17647,8873706307.84116,8794975281.25085,7872067397.19202,7213593707.75296,7145914080.06527,7551768629.64467,8245109981.63031,8227377568.63861,7779060897.22982,7599032279.37497
"31",2050,7776179025.58934,6456974577.39614,9044983258.872,7392254314.27613,6595471363.77013,7611432670.58673,8910208378.25012,7619800676.35212,8474982255.47436,7015974965.34037,6777096714.16559,9037723584.31591,8966920601.06175,7228092109.57209,6952416613.72989,6586784035.75196,7890252728.70778,6456974577.39614,9044983258.872,8977118671.99386,8018944535.77439,7367811980.70549,7303865921.20672,7706632652.9241,8401641838.14482,8383693873.35528,7925885877.83944,7757511440.1664
"32",2051,7923061246.56822,6570231104.82829,9209030128.34738,7541107687.74125,6726864476.95628,7760530861.61881,9064597777.4889,7766367833.12661,8630668799.22692,7158047712.84437,6910634609.38126,9201624820.67989,9141256266.08524,7364204000.65711,7077200527.01419,6718012905.66829,8035511604.3769,6570231104.82829,9209030128.34738,9151653873.70265,8159333510.07271,7516174303.76018,7456196081.13686,7855419207.64518,8551553958.91036,8533227265.83481,8066826105.38589,7910255741.7152
"33",2052,8063898649.25603,6678669882.60715,9365992411.51922,7684173641.95238,6853095864.90656,7903772813.1339,9211703431.83004,7907466263.22286,8779692416.21517,7294876419.46617,7039166284.35818,9358449035.0072,9308069632.93599,7494696265.26018,7196689295.52862,6844084855.64686,8174450176.81086,6678669882.60715,9365992411.51922,9318658676.08402,8293366387.72224,7658769266.13263,7602969524.72294,7998226837.03468,8694914315.24693,8676117770.20086,8202029055.09,8057365708.76503
"34",2053,8198780201.58841,6782405387.10994,9515992818.09371,7821531512.16845,6974220312.54572,8041240592.5401,9351673382.44072,8043198547.67531,8922170727.06841,7426517949.37148,7162791183.435,9508319115.99319,9467375394.35894,7619652267.30254,7310978581.49701,6965053941.83868,8307180871.86069,6782405387.10994,9515992818.09371,9478147626.68629,8421195940.21736,7795676360.71363,7744236170.208,8135148605.06601,8831837758.03653,8812447538.54361,8331630775.01597,8198881679.92303
"35",2054,8327789251.67387,6881541170.27612,9659133167.41802,7953208708.1625,7090288622.11984,8173007526.11469,9484612940.33841,8173655080.20744,9058200387.92777,7553022758.49092,7281596830.72599,9651338649.91913,9619246753.14098,7739148472.1905,7420163196.03327,7080971835.02901,8433824935.11802,6881541170.27612,9659133167.41802,9630193627.94554,8542965193.92107,7926916356.23218,7880042367.02935,8266264428.90147,8962440049.37303,8942321975.89342,8455756212.49331,8334870046.84472
"36",2055,8451004633.98861,6976169475.34801,9795514179.6697,8079262450.53469,7201358139.01616,8299139386.31297,9610644548.05957,8298914635.61199,9187844855.42728,7674435292.88184,7395622114.3951,9787604802.25177,9763730656.91042,7853253853.29105,7524330927.86786,7191896336.72529,8554459253.74484,6976169475.34801,9795514179.6697,9774843628.17507,8658804830.19635,8052554609.91224,8010435974.56812,8391648035.4426,9086879562.30192,9065849549.86044,8574521819.3205,8465396931.88956
"37",2056,8568498591.8371,7066371949.06947,9925226573.71344,8199738064.20871,7307474959.51889,8419695768.39014,9729861712.42349,8419045511.52751,9311182862.02448,7790794823.34184,7504930356.47671,9917209622.00095,9900890485.58453,7962030527.42146,7623560249.77173,7297873793.9943,8669159823.41207,7066371949.06947,9925226573.71344,9912160761.07052,8768833186.67598,8172640937.20964,8135454662.61295,8511372602.22865,9205287547.18956,9183122292.16022,8688033135.22122,8590512588.67901
"38",2057,8680337986.84488,7152220951.27975,10048354637.7352,8314686169.26907,7408686910.2648,8534731646.70186,9842375613.3712,8534107045.40855,9428307039.50356,7902136649.74418,7609574362.21519,10040242774.1846,10030772261.1407,8065535133.13767,7717918683.51002,7398952178.47124,8778007068.65313,7152220951.27975,10048354637.7352,10042191133.6726,8873157888.05717,8287213664.18812,8255117810.9291,8625495025.98532,9317773061.14652,9294241557.70685,8796384525.90887,8710265878.93667
"39",2058,8786587560.80464,7233781255.88322,10165004930.6807,8424147267.17522,7505044011.34839,8644299169.03261,9948292744.08128,8644151391.35993,9539287437.76713,8008493529.55144,7709604329.87809,10156792822.94,10153446172.2783,8163820591.18684,7807451414.87024,7495181572.19834,8881079657.13856,7233781255.88322,10164988811.2506,10165004930.6807,8971869048.34985,8396320510.85408,8369467706.77244,8734078369.94429,9424389938.74666,9399307571.37488,8899660396.0096,8824728369.44326
"40",2059,8887309175.9396,7311111926.92704,10280671726.8776,8528184395.97791,7596582426.93438,8748449433.48693,10047690874.4413,8749225465.46903,9644185980.12367,8109897201.65068,7805069139.5224,10266951533.8983,10268982095.5132,8256937971.07484,7892199059.11575,7586600344.95044,8978449897.96752,7311111926.92704,10275224732.3634,10280671726.8776,9065043388.81499,8500012470.94769,8478551225.11474,8837176848.79842,9525227967.38263,9498417862.52917,8997937158.50607,8933948270.10207
"41",2060,8982565461.91047,7384263150.50987,10389246505.6849,8626837835.83694,7683360375.66339,8847234155.78303,10140675896.395,8849372962.41415,9743087716.10748,8206379918.06847,7896015785.91489,10370812735.0432,10377434492.851,8344938303.15641,7972205711.92662,7673261255.01826,9070191770.08933,7384263150.50987,10379157447.3831,10389246505.6849,9152760682.6948,8598347370.10463,8582413872.77638,8934848727.90754,9620371198.05081,9591646248.4081,9091285437.33809,9037986992.6356
