"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2030,282823.451631057,224518.436291459,353398.926624026,254022.859446448,224987.971683871,261133.283124207,353398.926624026,273670.921179886,315393.666939531,242200.816684513,232519.864457176,338995.527934655,317458.728689842,261459.201034843,275383.114739067,224518.436291459,296789.290948548,260631.737627958,339226.491677216,318092.855497579,310908.555306253,252821.60478236,236888.80827975,266816.303698271,317754.602824056,321287.212891362,305329.267323501,268896.241090054
2031,297358.080307755,236182.978922252,371531.287844855,267213.886145013,236683.097999992,274628.06450034,371531.287844855,287992.119825392,331627.876783705,254827.602871897,244297.415135868,356375.767647566,333922.106488799,274721.266317984,289209.203416922,236182.978922252,311968.697551093,273513.459453698,356626.423240594,334596.410089845,326613.434688407,265934.326162318,249212.332638107,280616.330783207,333945.166437281,337816.657760496,320927.24858151,282968.846406732
2032,311008.407384176,247189.229403443,388567.872180189,279637.87482288,247718.723898485,287297.23718754,388567.872180189,301446.7810179,346888.531151054,266715.215703844,255306.913677804,372679.682472896,349432.30782732,287159.138659133,302163.470418397,247189.229403443,326211.100258068,285554.768459814,372949.720484899,350144.732260581,341325.193946671,278283.354700583,260801.679375691,293570.871355412,349115.221119912,353324.002372842,335543.66764143,296182.894207603
2033,323831.022188791,257479.553831481,404582.289175112,291343.318411858,258135.493199538,299190.724411363,404582.289175112,314079.801465646,361239.593573701,277907.972849722,265597.238105842,387977.972510957,364059.234382372,298823.57217372,314306.63089339,257578.01296289,339579.25462426,296817.697505479,388267.644973218,364807.637493378,355108.59829999,289917.160349559,271709.100398544,305728.747286553,363322.838405704,367869.2504043,349237.292631327,308588.478231359
2034,335880.297771899,267099.130031448,419645.565829121,302379.352741138,267972.646136229,310361.993922912,419645.565829121,325937.193128354,374742.880633035,288448.687854096,275216.814305809,402330.074187197,377871.250793954,309767.585074991,325695.102805852,267388.325204135,352134.943736204,307354.356897755,402638.976390382,378653.814422724,368025.219292824,300884.702913292,281985.012543486,317137.1837518,376626.937850865,381512.604256824,362059.989820326,320236.22980417
2035,347209.124085383,276096.767959401,433825.23743022,312793.703326688,277268.800028766,320862.518669001,433825.23743022,337064.992198519,387457.456894265,298380.165486995,284214.452233762,415799.385408627,390935.000590246,320044.396228899,336377.605403742,276658.863738572,363935.440722342,317214.242421679,416127.115712105,391749.89805833,380128.582357251,311233.580046551,291676.13856361,327842.860524625,389085.935181442,394312.54255166,374063.041551596,331176.146805079
2036,357867.723917054,284519.209451723,447180.98326382,322632.482722158,286057.81290608,330739.903593815,447180.98326382,347508.367487209,399438.518739094,307743.673048754,292636.893726084,428449.85998103,403313.563438831,329704.346844724,346400.693495521,285423.464414834,375034.296704836,326444.796336692,428796.017707661,404159.059349576,391464.708747888,321009.796921711,300827.108317611,337892.107022333,400756.391228136,406326.003467409,385297.137014336,341455.111446204
2037,367903.502578872,292410.778644652,459763.757677751,331939.262836263,294372.638655399,340037.438526965,459763.757677751,357310.933954067,410734.700748561,316579.012914022,300528.462919013,440340.663643498,415064.351208691,338794.868928628,355810.606627304,293715.042675325,385482.647902709,335088.871870797,440704.836369148,415938.78163852,402083.746086699,330256.820419733,309480.714115363,347330.487411422,411692.172341735,417607.346718506,395811.109146552,351118.289135138
2038,377360.653779807,299812.795183228,471628.00071801,340751.353252622,302244.732511332,348796.925998791,471628.00071801,366514.258734421,421386.363285289,324923.872494131,307930.479457589,451524.082337017,426241.428267812,347359.36636704,364651.097960095,301564.998820561,395329.308670768,343186.144913545,451905.838466849,427143.204929836,412034.958719006,339011.791424364,317675.620661277,356201.308331241,421944.001001205,428207.913310248,405651.091774657,360208.202087467
2039,386279.618275673,306763.184120112,482824.131075054,349098.138001811,309703.297601004,357056.449171058,482824.131075054,375157.511211528,431433.254200328,332813.457717471,314880.868394473,462049.434789768,436889.821934111,355435.830107501,372962.963985497,309002.532289709,404619.167967318,350775.112976961,462448.324392183,437817.434407918,421365.536971552,347303.907841855,325446.903503911,364545.133076204,431559.288084723,438175.801649109,414861.144126846,368765.011413926
2040,394697.458106407,313296.406149642,493399.042194826,357008.281455823,316775.451234873,364851.135373134,493399.042194826,383277.242928307,440915.144896492,340280.424463921,321414.090424003,471963.062272231,447043.182304301,363057.621349375,380784.030856878,316054.675957635,413393.699665822,357892.003764032,472378.616508916,447995.198627017,430119.556587153,355161.889342902,332825.389136843,372399.602921482,440582.141027965,447555.700338664,423483.174320535,376826.094707057
2041,402648.39999527,319443.579120156,503395.304271893,364508.847296739,323486.417497611,372213.696693545,503395.304271893,390906.475530737,449869.287047455,347354.887129648,327561.263394516,481307.255771209,456735.740581158,370256.128425526,388149.334967169,322746.581295465,421691.250987457,364570.076504471,481738.987091014,457710.623897659,438337.820885744,362612.524539997,339833.164349409,379799.413312428,449053.449917602,456389.076248667,431556.518511191,384425.873733453
2042,410163.934842253,325232.711641588,512850.15582349,371625.434390098,329860.221560827,379174.279272378,512850.15582349,398076.422823915,458328.604719437,354063.606177093,333350.395915949,490121.461525493,465997.958492605,377059.902130252,395091.292122649,329102.230095032,429546.115787395,370840.3410832,490568.867179917,466994.063397284,446058.016893221,369681.452077255,346491.366586111,386776.392143594,457011.017895102,464714.550644906,439117.607242102,391596.615077013
2043,417272.72258518,330688.994246617,521799.187470009,378378.945826677,335919.071087015,385759.932154929,521799.187470009,404816.621974385,466323.242189665,360430.152398781,338806.678520978,498442.87239744,474857.352797617,383495.130784234,401639.501783018,335143.802560932,436984.931943783,376731.644862859,498905.438648969,475873.932412307,453314.88018838,376389.604029797,352820.869391723,393359.649897022,464489.895978629,472568.043564354,446198.725373847,398367.956392137
2044,424001.021080896,335835.110035623,530301.611326641,384788.774578355,341682.896390536,391995.890028515,530275.533487107,411154.941587259,473881.352188655,366476.419624759,343952.794309984,506305.075596527,483340.472772374,389585.733072689,407820.180066533,340891.238305522,444031.684636127,382270.789595429,506782.278783696,484376.35626894,460140.377161515,382756.510528446,358839.809425825,399575.775677642,471522.624419884,479980.852696486,452830.120607875,404767.045211735
2045,430373.119639749,340690.981451977,538450.781106069,390874.54350879,347170.614719091,397904.718908133,538310.107340206,417117.415907339,481029.692995055,372222.650985355,348808.665726338,513739.524083342,491471.63382973,395354.004081862,413657.172930454,346363.365631841,450709.485345611,387482.496918272,514230.836814983,492525.526048368,466563.901117521,388801.649881302,364565.276311294,405449.055662236,478139.349968506,486977.949406192,459040.574792398,410817.778079496
2046,436411.070924998,345272.349379726,546267.977469106,396655.058328727,352399.744108658,403504.359856008,545932.296993777,422726.953890197,487794.014283321,377686.470529698,353390.033654086,520775.066025196,499271.854489001,400820.244433619,419172.949199064,351577.631547368,457039.763731092,392389.47778214,521279.960057683,500342.722411404,472612.474963547,394543.497869709,370013.519358313,411001.695027232,484367.912144702,493583.096596541,464857.148521198,416538.827322669
2047,442135.052704152,349593.037715093,553771.99030009,402147.802690977,357386.412448757,408810.359919033,553169.321988995,428003.021612311,494197.888747603,382882.168453722,357710.721989454,527438.12568624,506759.758125918,406002.62808488,424389.015094567,356550.127875711,463042.64162657,397012.558259168,527956.074645332,507846.735242389,478310.9535629,399999.530550882,375199.950370033,416254.030651836,490234.021271369,499819.163590272,470305.320327123,421947.984787765
2048,447563.703813405,353667.302346952,560978.386530237,407369.478737161,362145.496228465,413838.310963202,560046.13633553,432964.749030692,500263.589546899,387823.669957057,361784.986621313,533752.91524252,513950.847809467,410916.269199529,429325.231658285,361295.687804812,468737.42149838,401370.825382582,534283.397350657,515053.131472536,483682.22090997,405186.332983401,380137.948240825,421223.494510648,495760.98222271,505708.322865049,475408.950480294,427062.198283135
2049,452714.122329084,357508.115614697,567901.192601013,412335.800342108,366689.818184566,418602.894103983,566586.304963076,437630.392553563,506011.994045819,392524.769982787,365625.799889058,539741.621996957,520859.072560537,415574.346376468,433999.929543406,365827.386485122,474141.343940046,405481.777614891,540284.123121627,521975.937543311,488747.376431618,410119.780758252,384840.921205252,425924.455916981,500967.897896378,511270.759868525,480190.329910182,431898.22299258
2050,457602.135692398,361127.976384155,574553.445444744,417061.932270638,371029.99272689,423117.607816275,572811.546645272,442017.52440298,511462.65591627,396997.63370147,369245.660658515,545424.547353028,527497.40283966,419989.772890568,438430.257639922,370155.61095573,479271.161270862,409361.218008414,545978.564262621,528628.190387042,493525.902239176,414814.752407417,389321.527016828,430370.513058448,505872.098422324,516525.94657518,484669.581369043,436471.791475388
2051,462242.40909579,364538.770916146,580947.563900447,421562.118078756,375175.799865884,427395.561832157,578741.855881972,446142.866885043,516634.004462819,401254.221973928,372656.455190507,550818.968437658,533878.203509066,424174.981260495,442632.060362188,374289.917131261,484142.63852119,413022.458212464,551384.023853025,535022.308842745,498035.809518393,419285.363571695,393591.644234244,434575.346598532,510490.460138023,521491.721742399,488863.945451897,440797.491838397
2052,466648.681475216,367752.285648324,587096.644259631,425849.196429147,379136.478761039,431449.022581214,584395.615220453,450022.305189173,521543.23870404,405305.966739165,375869.969922685,555939.496579583,540014.53129086,428142.082645438,446619.505758752,378239.730215817,488770.556626501,416477.143435458,556515.142798355,541171.38920193,502293.765539889,423544.382815522,397662.476086449,438551.603018203,514839.182892,526184.496709841,492790.158782052,444889.598936845
2053,470833.807849116,370779.628378217,593012.034389817,429935.241756319,382920.948733344,435290.083619136,589789.699768474,453670.883190163,526205.984559156,409163.944269,378897.312652578,560800.368590699,545917.699430543,431902.091332916,450404.603524858,382013.825357798,493168.79330486,419736.609201519,561386.171575161,547086.779332116,506315.205427808,427603.788142026,401544.586758004,442311.208349846,518933.917703493,530619.608720654,496464.21725459,448761.62367284
2054,474809.883579987,373630.562579487,598704.702038711,433831.610896697,386537.754885062,438930.314529821,594939.582935313,457102.797485659,530636.787203477,412838.530474802,381748.246853848,565415.20531084,551598.649633429,435465.643914872,453998.301438832,385620.71172367,497350.356668381,422811.84590114,566010.638435827,552779.44698101,510114.432631668,431474.859504975,405247.923428299,445864.919555735,522788.937255367,534811.817728195,499901.429909111,452426.344213642
2055,478588.210590944,376314.569351621,604184.630963718,437548.848377416,389994.832705115,442380.211880632,599859.209460685,460331.39830587,534849.363263829,416339.32461119,384432.253625982,569796.555933629,557067.344960766,438842.95377424,457411.466508038,389068.326305548,501327.413716004,425713.352434351,570401.27964377,558259.375906017,513704.032330871,435168.067151894,408781.847288642,449223.344778884,526417.01809969,538775.283883285,503116.353683414,455895.806143833
2056,482179.456245221,378841.032571314,609461.878183074,441096.734630161,393299.633381886,445650.002384341,604559.677991247,463369.198414862,538856.401541313,419675.822716423,386958.716845674,573956.712669888,562333.822505808,442043.823899432,460654.445927123,392364.184208656,505111.085540568,428450.8441087,574570.301866103,563536.623125372,517094.731190051,438693.120471091,412154.974466536,452397.100990925,529830.960567315,542523.396996731,506122.774184743,459181.315505578
2057,485593.564105162,381219.044586767,614546.214606491,444484.063813828,396459.313209102,448749.564808669,609050.241387715,466227.685752441,542669.647456412,422856.956310823,389336.728861128,577907.464867318,567407.834832458,445077.763531289,463736.739160783,395515.341942127,508711.067409753,431033.737514376,578529.495798085,568620.959548789,520296.311932688,442058.548907905,415374.907079604,455395.686045821,533043.268867466,546068.611136045,508933.71957832,462293.442876094
2058,488839.717356617,383457.062431372,619446.059663141,447717.534593122,399480.687948598,451688.253554682,613339.992094775,468917.282283446,546299.983637211,425891.139167004,391574.746705732,581659.57867077,572297.788715166,447953.463335445,466667.428035308,398528.435364386,512136.939506899,433470.961630968,582289.578248038,573520.80460544,523318.275400627,445270.949810326,418449.127177931,458228.55567426,536065.532246307,549422.582623164,511561.473917731,465241.838968098
2059,491926.655376552,385563.160866954,624169.274028233,450804.040385623,402370.140984396,454474.876455425,617437.820333585,471447.734430101,549757.492847607,428786.285750014,393680.845141315,585223.297021143,577011.611806957,450679.150478748,469455.022966572,401409.963839205,515397.550750332,435770.961155462,585860.871334211,578244.018970532,526169.939054655,448337.326886678,421384.825479937,460904.813012082,538908.824043067,552596.155996544,514017.595280377,468035.220009241
2060,494862.595343555,387544.961694939,628723.424625577,453749.907615686,405133.990387069,457117.382156506,621352.086700407,473828.268534285,553051.516333015,431549.817319296,395662.6459693,588608.431585981,581556.846196225,453262.91753704,472107.420123521,404166.209482403,518500.260786742,437941.702426299,589253.186940308,582798.169567875,528860.102429471,451264.0190934,424188.837000645,463433.210684302,541583.592012155,555599.479617538,516312.941375108,470681.941714295
