"year","mean","min","max","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25"
2048,1656848.02185749,1345651.6674013,1854620.16508606,1839351.0051927,1600220.29793157,1345651.6674013,1421606.37452746,1843782.58339665,1826529.87139437,1841124.44673544,1817353.2694242,1818896.68427205,1799838.31301898,1557651.93886784,1530069.73236295,1732739.2695114,1724246.83789328,1448317.66808032,1584615.64601416,1557727.21816134,1724819.76687611,1493337.12533855,1620093.88099225,1812244.77087045,1549060.34822104,1553373.85285655,1731441.73563996,1647106.24145625
2049,1711399.03449127,1391953.59881062,1916740.94066864,1898548.45233545,1653436.38124521,1391953.59881062,1470869.79672802,1903052.52594936,1888650.64697695,1900484.56507266,1879286.5070143,1876121.87534026,1857861.42102083,1607662.08383837,1580430.62100277,1790872.49019677,1781896.64128871,1499033.22005124,1636383.41300346,1608637.31065278,1782715.65815715,1540992.35076447,1670042.54087956,1873857.14258788,1598623.98587906,1605442.01959834,1789530.62675376,1698589.98713375
2050,1763616.70178984,1436376.75139624,1976329.08226014,1955106.22843912,1704365.32772974,1436376.75139624,1518159.8496976,1959675.5792051,1948238.78856844,1957207.08189197,1938703.0326628,1930776.0748201,1913350.8538493,1655397.87823238,1628648.22977371,1846623.9176965,1837168.44364961,1547696.29373158,1685910.22699075,1657276.9420672,1838243.5774597,1586587.36036495,1717695.71421983,1932955.71064922,1645920.42770069,1655343.57315662,1845242.24144716,1747747.43934569
2051,1813790.09891561,1479185.4848507,2033732.00933317,2009379.82462089,1753308.21400283,1479185.4848507,1563700.09797393,2014010.38050369,2005641.71564147,2011648.55239176,1995946.43516571,1983311.39994858,1966689.96778841,1701041.35048595,1675080.29990536,1900265.68293117,1890059.11068697,1594511.24598701,1733606.84263818,1703914.55838687,1891672.79369135,1630465.40326549,1763145.68473851,1989881.96711491,1691127.95906689,1703455.67185206,1898846.48170438,1794855.34754729
2052,1864433.46971599,1522571.87158555,2091886.08907049,2064039.04731466,1802740.15511106,1522571.87158555,1609824.37269436,2068729.76561438,2063795.79537879,2066482.04519503,2053947.91653853,2036161.02364821,2020510.70973894,1746849.34831758,1722019.06264878,1954570.55128665,1943376.50532563,1641976.42205149,1781763.61880464,1750891.62426717,1945769.67504341,1674742.79382528,1808612.82481712,2047560.48763235,1736491.50796803,1752145.2868101,1953115.80934579,1842148.52193631
2053,1916164.10739165,1567025.81200578,2151509.01534948,2119741.4147978,1853332.11430714,1567025.81200578,1657102.61697369,2124492.62552925,2123418.72165779,2122366.1095343,2113426.27238961,2089658.16745899,2075287.82034403,1793543.87735514,1769901.07543047,2010260.53399854,1998107.49282098,1690831.34162159,1830737.10665739,1798864.44484164,2001256.76152266,1719798.51217359,1854794.92489213,2106713.15283281,1782731.18459862,1801840.25223274,2008773.46287106,1890096.88594356
2054,1968908.04938377,1612447.41534474,2212556.53452347,2176432.55369155,1905018.28345293,1612447.41534474,1705493.79116803,2181245.1363457,2184466.24083178,2179245.48995993,2174339.27612419,2143877.82415072,2130809.17420417,1841114.98794117,1818589.40358682,2067125.2395971,2054321.69770174,1740959.74444645,1880470.59772187,1847777.69373313,2057927.58831106,1765591.8297332,1901675.05334626,2167303.69350475,1829840.74643712,1852373.2303592,2065610.54169706,1938644.00120355
2055,2019361.66587776,1655984.56926303,2271066.2572214,2230589.04859026,1954445.10974908,1655984.56926303,1751907.76583851,2235459.52419084,2242975.9635297,2233588.94030478,2232728.59571583,2195674.23223556,2183852.26659309,1886497.06107471,1865147.70182363,2121603.16847403,2108195.2993335,1789034.3288881,1928010.7054966,1894489.2963593,2112225.84294146,1809374.4262133,1946356.78113596,2225380.85547084,1874773.92938794,1900737.40578467,2120065.05616952,1984943.77237989
2056,2067777.54752756,1697890.52587458,2327363.95966832,2282486.90141532,2001873.46131237,1697890.52587458,1796562.83873766,2287411.02827394,2299273.66597662,2285673.69151242,2288916.27674133,2245385.71092175,2234762.51674046,1929818.95127264,1909921.63455428,2173942.30527409,2159697.61108853,1835217.6099106,1973750.02015368,1939204.33073846,2164395.75385985,1851472.53364077,1988916.56838017,2281261.81887763,1917652.78153136,1947301.99838715,2172383.35757671,2029264.79543661
2057,2116580.87772051,1740305.4182985,2384317.48961803,2334669.74005043,2049708.19431636,1740305.4182985,1841748.15287361,2339646.9196437,2356227.19592634,2338048.86766606,2345765.72684724,2295326.09998309,2286049.08921966,1973238.07920951,1955125.54706472,2226831.98164261,2211581.97566186,1881965.55940019,2019900.22590154,1984180.76232118,2217121.52807233,1893909.37075262,2031432.91919247,2337803.93488503,1960622.4157729,1994347.91170343,2225254.88054687,2073709.44606051
2058,2166408.38962201,1783494.47155222,2442669.18609505,2387811.6388321,2098642.86102213,1783736.64232524,1888036.77155684,2392843.26424059,2414578.89240336,2391388.9573888,2404019.36402227,2345815.15992485,2338231.23276586,2017470.42374521,2001210.74822666,2281049.41098508,2264820.75048903,1930071.55939947,2066816.15519737,2030082.57421281,2271180.63198037,1937107.84601901,2074621.9724462,2395751.77074705,2004397.8490917,2042334.93901669,2279457.82848029,2118730.49603126
2059,2217218.69258323,1827336.83727928,2502394.54223788,2441887.72943566,2148677.16924227,1828124.64355668,1935395.26494117,2446975.93208641,2474304.24854618,2445667.03306483,2463653.58326123,2396949.28177457,2391126.19818138,2062547.2385748,2048093.03295617,2336426.41388931,2319525.86084528,1979447.32040496,2114471.4439052,2076880.47910555,2326407.44635666,1981045.43356229,2118464.33817325,2455087.03860061,2049006.9819455,2091158.61826298,2334824.94164199,2164319.64226574
2060,2265801.77482614,1869092.57433203,2559609.38292213,2493519.11484375,2196522.90166278,1870654.14414531,1980798.38555047,2498661.97469207,2531519.08923044,2497496.43247273,2520787.55171438,2445773.9427258,2441614.44334275,2105555.25560263,2092898.74773527,2389439.42074996,2371945.21140917,2026788.36315289,2160010.29092895,2121593.17530709,2379283.61558571,2023034.76276543,2160220.075226,2511936.45474231,2091543.77398954,2137845.04373089,2387831.93576318,2207770.26358412
